PREVIEW SEGUIMENTOS MATERIAS
====================================================================================================


ARQUIVO: 103 DE-02 Cadro de mando 25-26 Dereito Modificado.xlsx
====================================================================================================

HOJA: Anexos 1 → 23/24
----------------------------------------------------------------------------------------------------
  ✓ Indicador: I10-7 — Taxa de Rendemento por materia
  ✓ Indicador: I10-10 — Taxa de éxito por materia
  ✓ Fila 6: 19824 — taxa1=0.857142857142857, taxa2=0.683544303797468, meta1=None, meta2=None
  ✓ Fila 7: 19825 — taxa1=0.898305084745763, taxa2=0.768115942028986, meta1=None, meta2=None
  ✓ Fila 8: 19826 — taxa1=0.80952380952381, taxa2=0.586206896551724, meta1=None, meta2=None
  ✓ Fila 9: 19827 — taxa1=0.719298245614035, taxa2=0.585714285714286, meta1=None, meta2=None
  ✓ Fila 10: 19828 — taxa1=0.583333333333333, taxa2=0.531645569620253, meta1=None, meta2=None
  ✓ Fila 11: 19829 — taxa1=0.873015873015873, taxa2=0.69620253164557, meta1=None, meta2=None
  ✓ Fila 12: 19830 — taxa1=0.724137931034483, taxa2=0.552631578947369, meta1=None, meta2=None
  ✓ Fila 13: 19831 — taxa1=0.736111111111111, taxa2=0.582417582417583, meta1=None, meta2=None
  ✓ Fila 14: 19832 — taxa1=1, taxa2=0.788732394366197, meta1=None, meta2=None
  ✓ Fila 15: 19833 — taxa1=0.75, taxa2=0.642857142857143, meta1=None, meta2=None
  ✓ Fila 16: 19834 — taxa1=0.453333333333333, taxa2=0.404761904761905, meta1=None, meta2=None
  ✓ Fila 17: 19835 — taxa1=0.484848484848485, taxa2=0.355555555555556, meta1=None, meta2=None
  ✓ Fila 18: 19836 — taxa1=0.546875, taxa2=0.466666666666667, meta1=None, meta2=None
  ✓ Fila 19: 19837 — taxa1=0.727272727272727, taxa2=0.579710144927536, meta1=None, meta2=None
  ✓ Fila 20: 19838 — taxa1=0.71830985915493, taxa2=0.621951219512195, meta1=None, meta2=None
  ✓ Fila 21: 19839 — taxa1=0.8, taxa2=0.685714285714286, meta1=None, meta2=None
  ✓ Fila 22: 19840 — taxa1=0.739130434782609, taxa2=0.614457831325301, meta1=None, meta2=None
  ✓ Fila 23: 19841 — taxa1=0.98, taxa2=0.890909090909091, meta1=None, meta2=None
  ✓ Fila 24: 19842 — taxa1=0.641509433962264, taxa2=0.465753424657534, meta1=None, meta2=None
  ✓ Fila 25: 19843 — taxa1=0.914893617021277, taxa2=0.877551020408163, meta1=None, meta2=None
  ✓ Fila 26: 19844 — taxa1=0.92156862745098, taxa2=0.783333333333333, meta1=None, meta2=None
  ✓ Fila 27: 19845 — taxa1=0.547169811320755, taxa2=0.446153846153846, meta1=None, meta2=None
  ✓ Fila 28: 19846 — taxa1=0.791666666666667, taxa2=0.527777777777778, meta1=None, meta2=None
  ✓ Fila 29: 19847 — taxa1=0.717391304347826, taxa2=0.417721518987342, meta1=None, meta2=None
  ✓ Fila 30: 19848 — taxa1=0.872727272727273, taxa2=0.786885245901639, meta1=None, meta2=None
  ✓ Fila 31: 19851 — taxa1=0.681818181818182, taxa2=0.447761194029851, meta1=None, meta2=None
